Jahr,ProKopfVerbrauch_Stueck,Raucherquote_Gesamt,Raucherquote_Maenner,Raucherquote_Frauen,Gesamtverbrauch_Mrd,Massnahme
1991,2281,,,,146.4799,
1992,,,,,131.1527,
1993,,,,,128.1000,
1994,,,,,134.0438,
1995,1967,,,,135.0293,
1996,,,,,136.2437,
1997,,,,,137.6765,
1998,,,,,138.3884,
1999,,,,,145.2654,Sponsoring-Verbot Rundfunk
2000,2013,34.3,40.3,28.7,139.6246,
2001,,,,,142.5460,
2002,,,,,145.1527,
2003,,,,,132.6032,Warnhinweise
2004,,,,,111.7612,Gratisprobenverbot
2005,1360,29.8,34.5,25.2,95.8267,
2006,1135,,,,93.4655,Werbeverbot Print und Online
2007,1112,,,,91.4973,
2008,1071,,,,87.9789,
2009,1058,,,,86.6068,
2010,1022,25.9,29.9,22.2,83.5645,
2011,1091,,,,87.5558,
2012,1025,,,,82.4051,
2013,995,,,,80.2664,
2014,982,,,,79.5207,
2015,995,22.6,25.8,19.5,81.2667,
2016,911,,,,75.0159,Warnhinweise Text/Bild
2017,917,,,,75.8378,
2018,897,,,,74.3602,
2019,898,,,,74.5955,
2020,888,19.9,22.6,17.2,,
2021,863,,,,,
2022,785,,,,,
2023,769,,,,,
2024,793,,,,,
2025,795,17.2,19.4,15.0,,
2030,,14.9,16.7,13.2,,
