Jahr,Raucher_Prozent,Nieraucher_Prozent,Gesamt_Prozent,Differenz
1979,30.2,42.4,72.6,12.2
1982,25.1,42.2,67.30000000000001,17.1
1985,24.6,48.5,73.1,23.9
1989,23.9,55.0,78.9,31.1
1993,20.4,52.5,72.9,32.1
1997,28.1,54.5,82.6,26.4
2001,27.5,40.5,68.0,13.0
2003,22.5,47.7,70.2,25.200000000000003
2004,23.6,47.35,70.95,23.75
2005,20.0,51.4,71.4,31.4
2007,17.7,57.3,75.0,39.599999999999994
2008,15.4,60.6,76.0,45.2
2010,12.9,68.1,81.0,55.199999999999996
2011,11.7,70.8,82.5,59.099999999999994
2012,12.0,71.7,83.7,59.7
2014,9.7,75.3,85.0,65.6
2015,9.6,77.3,86.89999999999999,67.7
2016,8.3,79.4,87.7,71.10000000000001
2018,8.7,79.5,88.2,70.8
2019,7.2,83.0,90.2,75.8
2021,6.1,82.9,89.0,76.80000000000001
2023,6.8,83.3,90.1,76.5
